index,title,genres,story_line,cast,director
1937,Mausam Ikrar Ke Do Pal Pyar Ke,Drama,"A love story about Amar and Anjali, the story revolves around their college days and how they fall in love then. Old rivalries and families clash while the two try to be together.","Mukesh J Bharti,Madalsa Sharma,Manju Bharti,Neelu Kohli",Partho Ghosh
1938,Bhawani Mandi Tesan,Comedy,Story revolves around people of Bhawani Mandi. A place situated in between border of Rajasthan and Madhya Pradesh.,"Luv Sinha,Prashant Narayanan,Jaideep Ahlawat,Mukesh Hariawala",Sayed Faizan Hussain
1939,Pakhi,Crime,"Based On True Events Of The Life Of A 10-Year Old, The Story Unfolds The Miseries Of The Webs Of Child Trafficking Where The World Wants To Trade Her For Marriage, Pakhi Finds Herself In ...       »","Anmol Goswami,Sumeet Kant Kaul,Sikander Khan,Anamika Shukla",Sachin Gupta
1940,Panchaali,Action,"In a small Haryanvi village, five brothers trade in death and fear. When they kill one of their debtors and abduct his daughter Panchaali, she lures each of the five brothers to herself, laying out their death-trap.","Anurag Arora,Sumit Bhot,Rakhi Chauhan Mehta,Vivek Chauhan",Sourabh Bali
1941,Kuch Der Aur,Drama,"The film follows the heartfelt journey of a young boy trying to find a moment of bliss in his life filled with impassiveness and eternal wait, to which thousands of lives in Chandni Chowk are already accustomed.","Meenu Kawatra,Saajan Kataria,Rajesh Navgain,Niharika Kundu",Anurag Kawatra
1942,22 Days,Thriller,"Vishal, a young and dynamic business man with his Aditi industry capturing the whole business market of Mauritius. Visuals only target is to attain the top most position in business world, ...       »","Rahul Dev,Shivam Tiwari,Sophia Singh,Naglaa Boodhun",Shivam Tiwari
1943,Other Side of Love,"Action, Crime, Thriller",Other Side of Love is a Suspense Thriller Gay Themed Drama movie which is a story of a bisexual man and a gay man.,"Abhay,Farzana,Raj Rathor,Honey Singh",Ambrish Bhatia
1944,Jhakaas!,"Comedy, Drama","Troublesome times are when these four need each other the most. However, they end up creating more trouble than they started with whenever they meet.","Mukund Krishna Kumar Nair,Sangeeth Shobhan,Saraswat Mandarapu,Subramanya Kini",Anirudh Baboo
1945,Yakshini,Drama,,"Mugdha Godse,Arif Zakaria,Chandra Shekhar Dutta,Rakesh Pandey",Samir Jagot
1946,Myrah,"Drama, Romance","Myrah is a Hindi movie released on 23 Nov, 2018. The movie is directed by Anil Dhoble and featured Sukanya Surve as lead character.","Meera Joshi,Sukanya Surve,Sandeep Sharma,Poorav Kusare",Anil Dhoble
1947,Jaane Kyun De Yaaron,Drama,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.,"Muntazir Ahmad,Akshay Anand,Kabir Bedi,Hitesh Bharadwaj",Akshay Anand
1948,Mitti-back to roots,Drama,A film on agrarian crisis produced by Farmers' ChampionsDo you know the farmer who produced the food you ate in your lunch?Do you whether he/she is still alive?In a situation where 3.2 ...                See full synopsis »,"Sudhier Rout,Anumeha Singh,Sandeep Yadav",Anshul Sinha
1949,Sanjeevani,Drama,"A group of people set out to find a mystical plant that can bring people back to life. However, once they reach the place, they are hunted by strange creatures and must escape before they are killed.","Amogh Deshapathi,Manoj Chandra",Ravi Vide
1950,Akad 2,Family,,"Usha Devi,Kavita Joshi,Uttar Kumar,Raju Maan",Dinesh Chaudhary
1951,PUBG India Life Battle Royale,"Action, Adventure, Comedy",,"CarryMinati,Ankur Pathak,Barkha Singh,Ishan Goswami",
1952,Yeh Kaisa Tigdam,Drama,,"Ashutosh Rana,Sakshi Chaudhary,Ajaz Khan,Usha Nadkarni",Ismail Darbar
1953,Riti Rivaj,Drama,,"Shiv Kikod,Gaurav Dewasi,Heta Shah",Dinesh Rajpurohit
1954,Kill the Rapist?,Thriller,,"Sunny Hinduja,Anjali Patil,Sadiya Siddiqui",Sanjay Chhel
1955,Kutte Ki Dum,Comedy,"Five youngsters who follow the trouble or trouble follows them every time they try to show their smartness. As in reality, everyone is struggling to fulfil his/her own dreams any cost. It's...       »","Raz Rehman Ali,Jass Boparai,Tanya Daang,Kulwant Khatra",Sunil Patel
1956,Namdev Bhau,Adventure,"Namdev Bhau, a 65 year old chauffeur, who is tired of the noises in the obstreperous Mumbai City life and has completely stopped speaking, decides to leave everything in search for 'Silent ...       »","Arya Dave,Namdev Gurav,Zoya Hussain,Manikant Momaya",Dar Gai
1957,Zoo,Drama,"Set in the heart of Mumbai, ZOO depicts lifestyles in and around the ghetto co-existing with the people residing in the upmarket, high-rise buildings of Mumbai. It is a story of a bunch of ...       »","Shashank Arora,Prince Daniel,Shatakshi Gupta,Rahul Kumar",Shlok Sharma
1958,Kathor,Drama,"Neelkanth chaturvedi is 55 years old . He is about to retire in 2 years from the post of Constable from Bilaspur Central Jail. He has a small family, wife Jyoti and daughter Anu. Anu is his...       »","Lalit Parimoo,Sheetal Dimri,Abhisek Pandey,Durga Sarkar",Karan Kashyap
1959,Megalopolis,Mystery,An 18 year boy from a small town in Maharashtra comes to a big city to take revenge from a man called Kamal who killed his parents. He encounters many mysterious characters who help him to ...       »,"Kuldeep Patil,Naina Sareen,Arjun Radhakrishnan,Shweta Basu Prasad",Rohit Mittal
1960,Kya Masti Kya Dhoom,Comedy,,"Abhishek Bajaj,Musskan Sethi,Anant Vidhaat Sharma,Eshanya Maheshwari",
1961,The Ring Around the Rose,Mystery,"This is a Magical Realism movie about Anjali, her death and the baffling mystical circumstances that follows .","Deepak Arora,Sufi Malhotra,Uday Shinde,Pragathi Yadhati",C. Jenner Jose
1962,Unmaad,Drama,"Shankar, a politically influential person who has his team of goons working For him as 'Cow Protectors' who beat up each and every person they see with a dairy animal and Confiscate that ...                See full synopsis »","Gehana Vasisth,Manisha Mondal,Amit Pundir,Nikita Vijayvargia",Shahid Kabeer
1963,Wo India Ka Shakespeare,"Romance, Thriller",A group of friends who go out to find out why their work company's boss was murdered.,"Raj Aryan,Raza Murad,Yogita Rajput",Suresh Mandal
1964,Summer Camp,"Comedy, Drama","A Fun filed camp started, what was going to follow was truly unexpected- encounter with villain, A Gang of ghosts and the rivalry between PREM SHANTI kids and CITY group kids.","Saurabh Agarwal,Altaf,Manish Garg,Rajesh Gupta",Kunal v Singh
1965,Midnight Delhi,"Crime, Drama, Mystery",There are always three versions of the story Your version My version & The Truth & each version looks real. You choose yours.,"Mukesh S. Bhatt,Sahdev Raj Singh Hooda,Trushant Ingle,Anshuman Jha",Raakesh Rawat
1966,Bhaagte Raho,Comedy,How the life of an innocent cook (Abhay Raichand) who works in a military cantonment takes a twist and turns wherein he meets more 9 innocent and idiot people takes the audience on the ...       »,"Ali Abbas,Badrish Chhabra,Riya Deepsi,Mukesh Fotwani",Praful D.S. Tiwari
1967,Lakeeran the Destiny,Romance,"A love story based on two families, a Sikh family and a Muslim family. Ravi who is an engineering graduate and is keen to settle abroad. An agent get him a visa charging a huge amount. On ...       »","Pavan Grover,Mehr Hassan,Kulbhushan Kharbanda,Aaryan Panesar",Dharam Panesar
1968,Hope Aur Hum,"Comedy, Drama, Family","A father obsessed with an old school copying machine wreaks havoc on the family, causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.","Naseeruddin Shah,Kabir Sajid Shaikh,Virti Vaghani,Sonali Kulkarni",Sudip Bandyopadhyay
1969,Danger,"Horror, Thriller",,"Asif Basra,Sony Charishta,Faisal Khan,Meera",Faisal Saif
1970,State vs. Malti Mhaske,"Crime, Thriller","Malti Mhaske is accused of murdering her high class owner, Kavya. Tara is defending Malti against the state in the courtroom. In a case that is hard to win Tara brings forth the subdued ...       »","Sagar Deshmukh,Divya Menon,Smita Tambe",
1971,Tukkaa Fitt,Drama,,"Mimoh Chakraborty,Kurush Deboo,Vaishali Desai,Mukul Dev",Shawn Arranha
1972,Firautibaaz,Thriller,,"Kumud Mishra,Kajal Chauhan,Gulshan Pandey,Mohit Sonkar",Abhinav Nirala
1973,Spring Thunder,"Crime, Drama","Storytelling the tussle between 'Sustainability' & 'Development' in context of rural India, film 'Spring Thunder' narrates the story of a Uranium mining tender at the highest plateau of ...       »","Ravi Sah,Akash Khurana,Arshad Khan,Amanda Bloom",Sriram Dalton
1974,Number Game,"Horror, Mystery, Thriller","Emmy who lives in the UK, comes to India to organise a real life game. The game is launched in India. 5 players from 5 states participate in it to win Rs. 2 Crore. Three young boys and two ...       »","Aishwaryaa Rajesh,Nakul Choudharry,Rimi,Pimpi Tachang",Sumit Sinha
1975,Raja Abroadiya,Romance,"''A rich young, smart but innocent boy from a small village Raja who after facing ample difficulties goes abroad, comes back and is called Raja Abroadiya by the whole village''","Robin Sohi,Vaishnavi Patwardhan,Alankrita Bora,Yograj Singh",Lakhwinder Shabla
1976,Stupid Lovers,Romance,,"Anil Arya,Anusheel Chakrabarty,Priyanka Jadhav,Sunita Rathor",Samrat Das
1977,When Obama Loved Osama,Comedy,"Two youngsters, Maggi Obama and Aman Osama, who come from different communal backgrounds are in love with each other. Will their love overcome the religious differences and will they be united?","Amrita Acharya,Muntazir Ahmad,Jeeshan Ali,Kimti Anand",Sudhish Kumar Sharma
1978,Paak,Drama,"Set in Nainital city, this intense and engrossing story takes you in the journey of a beautiful magical love and passionate relationships where on one side one can feel about colorful ...       »","Arsh Sandhu,Rajneesh Duggal,Nikitin Dheer,Neha Lakshmi Iyer",Sujeet Kumar
1979,Honey Bunny in Kung Fu Challenge,"Action, Comedy","Honey Bunny in Kung Fu Challange in When Choos Lee arrives in Bunny's city and claims to be an unbeatable karate champion, Bunny challenges him for a competition. However, in order to win, ...       »","Dolly Lopes,Meena Nahata,Mubeen Saudagar",
1980,Chal Jaa Bapu,"Comedy, Drama, Family","This movie is about a phony, irresponsible and idle man who finds a 500 rupee note which teaches him how to work hard and live a dignified life with self-respect.","Hrishitaa Bhatt,Radha Bhatt,Dev Chauhan,Monika Chowdhury",Dedipya Joshii
1981,Yaksh,Thriller,,"Nitish Bharadwaj,Sheetal Shah,Bhanu Uday",Mukul Abhyankar
1982,Aadamkhor,Horror,"Based on the iconic Indian comic book from the 80s (Aadamkhor Hatyara) by Raj Comics, the film tells the story of Parul Diwan who returns to her father's idyllic cottage for a vacation with...       »","Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,Bhaskar Sharma",Kshitij Sharma
